iata,icao,unlocode,place_id,place_name,place_region,place_country
AEE,,,377785,Ban Donige,Upper Nile,SS
AEG,WIME,IDAEG,1215623,Aekgadang,North Sumatra,ID
AEH,FTTC,TDAEH,245164,Arkou,Ouadaï,TD
AEI,LEAG,,2522013,Algeciras,Andalusia,ES
AEK,AYAX,PGAEK,2100468,Aseki,Morobe,PG
AEL,KAEL,USAEL,5016024,Albert Lea,Minnesota,US
AEO,GQNA,MRAEO,2381291,Aioun,Hodh El Gharbi,MR
AEP,SABE,ARAEP,3435910,Buenos Aires,Buenos Aires F.D.,AR
AER,URSS,RUAER,491422,Sochi,Krasnodarskiy,RU
AES,ENAL,NOAES,3163392,Ålesund,Møre og Romsdal,NO
AET,PFAL,USAET,5879223,Allakaket,Alaska,US
AEU,OIBA,IRAEU,400747,Abū Mūsā,Hormozgan,IR
AEX,KAEX,,4314550,Alexandria,Louisiana,US
AEY,BIAR,ISAEY,2633274,Akureyri,Northeast,IS
AFA,SAMR,ARAFA,3836669,San Rafael,Mendoza Province,AR
AFD,FAPA,ZAAFD,964432,Port Alfred,Eastern Cape,ZA
AFF,KAFF,,5417598,Colorado Springs,Colorado,US
AFI,SKAM,COAFI,3690010,Amalfi,Antioquia,CO
AFL,SBAT,BRAFL,6316343,Alta Floresta,Mato Grosso,BR
AFN,KAFN,USAFN,5088061,Jaffrey,New Hampshire,US
AFO,KAFO,USAFO,5816861,Afton,Wyoming,US
AFR,AYAF,PGAFR,2101332,Afore,Northern Province,PG
AFS,UTSN,,1538230,Zarafshan,Navoiy,UZ
AFT,AGAF,SBAFT,2109972,Afutara,Malaita,SB
AFW,KAFW,,4691930,Fort Worth,Texas,US
AFY,LTAH,TRAFY,325303,Afyonkarahisar,Afyonkarahisar,TR
AFZ,OIMS,IRAFZ,118063,Sabzawār,Razavi Khorasan,IR
AGA,GMAD,MAAGA,2561668,Agadir,Souss-Massa-Drâa,MA
AGB,EDMA,,2954172,Augsburg,Bavaria,DE
AGC,KAGC,,5206379,Pittsburgh,Pennsylvania,US
AGD,WASG,IDAGD,8530672,Briejeje,West Papua,ID
AGE,EDWG,DEAGE,2814266,Wangerooge,Lower Saxony,DE
AGF,LFBA,FRAGF,3038634,Agen,Aquitaine-Limousin-Poitou-Charentes,FR
AGH,ESTA,SEAGH,2725901,Ängelholm,Skåne,SE
AGI,SMWA,SRAGI,3382783,Wageningen,Nickerie,SR
AGJ,RORA,JPAGJ,1862855,Higashi,Okinawa,JP
AGK,,,2095091,Kagua,Southern Highlands,PG
AGL,AYWG,PGAGL,2094895,Wanigela,Northern Province,PG
AGM,BGAM,GLAGM,3424607,Tasiilaq,Sermersooq,GL
AGN,PAGN,USAGN,5844374,Angoon,Alaska,US
AGO,KAGO,USAGO,4120323,Magnolia,Arkansas,US
AGP,LEMG,ESAGP,2514256,Málaga,Andalusia,ES
AGQ,LGAG,,265560,Agrínio,West Greece,GR
AGR,VIAG,INAGR,1279259,Āgra,Uttar Pradesh,IN
AGS,KAGS,USAGS,4180531,Augusta,Georgia,US
AGT,SGES,PYAGT,3439101,Ciudad del Este,Alto Paraná,PY
AGU,MMAS,MXAGU,4019233,Aguascalientes,Aguascalientes,MX
AGV,SVAC,VEAGV,3649833,Acarigua,Portuguesa,VE
AGW,,AUAGW,8606156,Catfish Landing,Queensland,AU
AGZ,FAAG,ZAAGZ,3370556,Aggeneys,Northern Cape,ZA
AHB,OEAB,SAAHB,110690,Abhā,'Asir,SA
AHC,KAHC,USAHC,5565015,Herlong,California,US
AHD,,,4529469,Ardmore,Oklahoma,US
AHE,NTHE,PFAHE,4033453,Tenukupara,,PF
AHF,,,5063097,Arapahoe,Nebraska,US
AHH,KAHH,USAHH,5243872,Amery,Wisconsin,US
AHI,WAPA,IDAHI,1651591,Amahai,Maluku,ID
AHJ,,,10203131,Sandaoqiao,Sichuan,CN
AHL,SYAH,GYAHL,3379947,Aishalton,Upper Takutu-Upper Essequibo,GY
AHM,,,5711789,Ashland,Oregon,US
AHN,KAHN,USAHN,4180386,Athens,Georgia,US
AHO,LIEA,ITAGK,3183284,Alghero,Sardinia,IT
AHS,MHAH,HNAHS,3615022,Auas,Gracias a Dios,HN
AHT,,USAHT,4045510,Amchitka,Alaska,US
AHU,GMTA,MAAHU,2558545,Al Hoceïma,Taza-Al Hoceima-Taounate,MA
AHW,,,289297,Al Ghubar,Al Wusţá,OM
AHY,,MGAHY,1083051,Ambatolahy,,MG
AHZ,LFHU,FRAHZ,3008406,Alpe d’Huez,Auvergne-Rhône-Alpes,FR
AIA,KAIA,USAIA,5693164,Alliance,Nebraska,US
AIB,,USAIB,7263024,Thoms Place,Alaska,US
AIC,,MHAIC,4038866,Airok,Ailinglaplap Atoll,MH
AID,KAID,USAID,4918949,Chesterfield,Indiana,US
AIE,AYAO,PGAIE,2101189,Aiome,Madang,PG
AIF,SBAS,BRAIF,3471374,Assis,São Paulo,BR
AIG,FEFY,CFAIG,236052,Yalinga,,CF
AIH,AYAK,,2101258,Aiambak,Western Province,PG
AII,HDAS,DJAII,225284,'Ali Sabieh,Ali Sabieh,DJ
AIK,KAIK,USAIK,4569067,Aiken,South Carolina,US
AIL,,PAAIL,3714956,Ailigandí,Guna Yala,PA
AIM,,MHAIM,2080970,Ailuk,Ailuk Atoll,MH
AIN,PAWI,USAIN,5877543,Wainwright,Alaska,US
AIO,KAIO,USAIO,4847385,Atlantic,Iowa,US
AIR,SWRP,BRAIR,6316432,Aripuanã,Mato Grosso,BR
AIS,NGTR,KIAIS,2110086,Tamaroa Village,Gilbert Islands,KI
AIT,NCAI,CKAIT,4035755,Amuri,,CK
AIU,NCAT,CKAIU,4035655,Mapumai,,CK
AIV,KAIV,USAIV,4829885,Aliceville,Alabama,US
AIW,,NAAIW,3358789,Ai-Ais,Karas,NA
AIZ,KAIZ,USAIZ,4402594,Passover,Missouri,US
AJA,LFKJ,FRAJA,3038334,Ajaccio,Corsica,FR
AJF,OESK,SAAJF,102527,Sakakah,Al Jawf,SA
AJI,LTCO,TRAJI,296613,Yolluyazı,Ağrı,TR
AJJ,GQNJ,MRAJJ,2381690,Akjoujt,Inchiri,MR
AJK,OIHR,,7431358,Arak,Gīlān,IR
AJL,VEAZ,INAJL,1279186,Aizawl,Mizoram,IN
AJN,FMCV,KMAJN,921721,Ouani,Anjouan,KM
AJR,ESNX,,2725136,Arvidsjaur,Norrbotten,SE
AJS,,MXAJS,8015082,Punta Abreojos,Baja California Sur,MX
AJU,SBAR,BRAJU,3471872,Aracaju,Sergipe,BR
AJY,DRZA,NEAJY,2448085,Agadez,Agadez,NE
AKA,ZLAK,CNAKA,1789065,Ankang,Shaanxi,CN
AKB,PAAK,USAKB,5879729,Atka,Alaska,US
AKC,KAKR,,5145476,Akron,Ohio,US
AKD,VAAK,INAKD,10641483,Sivar,Maharashtra,IN
AKE,FOGA,GAAKE,2402493,Akiéni,Haut-Ogooué,GA
AKF,HLKF,LYAKF,88962,Al Jawf,Al Kufrah,LY
AKG,AYGU,PGAKG,2100760,Anguganak,Sandaun,PG
AKH,OEPS,,109353,Al Kharj,Ar Riyāḑ,SA
AKI,PFAK,USAKI,5878993,Akiak,Alaska,US
AKJ,RJEC,JPAKJ,2130629,Asahikawa,Hokkaido,JP
AKK,PAKH,USAKK,5878982,Akhiok,Alaska,US
AKL,NZAA,NZAKL,2193733,Auckland,Auckland,NZ
AKM,,TDAKM,2424121,Zakouma,Salamat,TD
AKN,PAKN,USAKN,5866330,King Salmon,Alaska,US
AKO,KAKO,USAKO,5574199,Akron,Colorado,US
AKP,PAKP,USAKP,5879390,Anaktuvuk Pass,Alaska,US
AKQ,,,8531451,Semut,Lampung,ID
AKR,DNAK,NGAKR,2350841,Akure,Ondo,NG
AKS,AGGA,SBAKS,2109701,Auki,Malaita,SB
AKT,LCRA,,146839,Akrotiri,,GB
AKU,ZWAK,CNAKU,1529660,Aksu,Xinjiang Uyghur Autonomous Region,CN
AKV,CYKO,CAAKV,5882994,Akulivik,Quebec,CA
AKW,OIAG,IRAKW,144696,Aghajari,Khuzestan,IR
AKX,UATT,KZAKX,610611,Aqtöbe,Aqtöbe,KZ
AKY,VYSW,MMAKY,1295765,Sittwe,Rakhine,MM
ALA,UAAA,KZALA,1526384,Almaty,Almaty Qalasy,KZ
ALB,KALB,USALB,5106834,Albany,New York,US
ALC,LEAL,ESALC,2521978,Alicante,Valencia,ES
ALD,SPAR,PEALD,3948173,Alerta,Madre de Dios,PE
ALE,,USALE,5516203,Alpine,Texas,US
ALF,ENAT,NOALF,847633,Alta,Finnmark Fylke,NO
ALG,DAAG,DZALG,2507480,Algiers,Algiers,DZ
ALH,YABA,AUALH,2077963,Albany,Western Australia,AU
ALI,KALI,USALI,4670234,Alice,Texas,US
ALJ,FAAB,ZAALJ,3370511,Alexander Bay,Northern Cape,ZA
ALK,,,343370,Āsela,Oromiya,ET
ALL,LIMG,ITALL,3183343,Albenga,Liguria,IT
ALM,KALM,USALM,5454627,Alamogordo,New Mexico,US
ALN,KALN,USALN,4246124,Oakwood Heights,Illinois,US
ALO,KALO,USALO,4880889,Waterloo,Iowa,US
ALP,OSAP,SYALP,170063,Aleppo,Aleppo,SY
ALQ,SSLT,BRALQ,3472638,Alegrete,Rio Grande do Sul,BR
ALR,NZLX,NZALR,6207905,Alexandra,Otago,NZ
ALS,KALS,USALS,5411479,Alamosa,Colorado,US
ALU,HCMA,SOALU,63081,Caluula,Bari,SO
ALV,,ADALV,3041563,Andorra la Vella,Andorra la Vella,AD
ALW,KALW,USALW,5814916,Walla Walla,Washington,US
ALX,KALX,USALX,4829843,Alexander City,Alabama,US
ALY,HEAX,EGALY,361058,Alexandria,Alexandria,EG
AMA,KAMA,USAMA,5516233,Amarillo,Texas,US
AMB,,MGAMB,1071168,Antanamazava,,MG
AMC,FTTN,TDAMC,245338,Am Timan,Salamat,TD
AMD,VAAH,INAMD,1279233,Ahmedabad,Gujarat,IN
AME,,MZAME,1053143,Alto Molocue,Zambézia,MZ
AMF,AYAA,PGAMF,8658786,Ama,East Sepik,PG
AMG,,PGAMG,2100948,Amboin,East Sepik,PG
AMH,HAAM,ETAMH,343663,Ārba Minch’,"Southern Nations, Nationalities, and People's Region",ET
AMJ,SNAR,BRAMJ,3472520,Almenara,Minas Gerais,BR
AMK,,,5420241,Durango,Colorado,US
AML,,PAAML,3702431,Puerto Armuelles,Chiriquí,PA
AMM,OJAI,JOAMM,250441,Amman,Amman,JO
AMN,KAMN,USAMN,4992263,Eugene,Michigan,US
AMO,FTTU,TDAMO,2428394,Mao,Kanem,TD
AMP,FMSY,MGAMP,1078553,Ampanihy,Atsimo-Andrefana,MG
AMQ,WAPP,,1651531,Ambon,Maluku,ID
AMS,EHAM,NLAMS,2759794,Amsterdam,North Holland,NL
AMT,YAMT,AUAMT,2077816,Amata,South Australia,AU
AMU,AYAM,PGAMU,2100976,Amanab,Sandaun,PG
AMV,ULDD,RUAMV,1511696,Amderma,Nenetskiy Avtonomnyy Okrug,RU
AMW,KAMW,USAMW,4846834,Ames,Iowa,US
AMX,YAMM,AUAMX,8310678,Ampilatwatja,Northern Territory,AU
AMY,,MGAMY,1082918,Ambatomainty,,MG
AMZ,NZAR,NZAMZ,6232064,MANUREWA,Auckland,NZ
ANB,KANB,USANB,4830198,Anniston,Alabama,US
ANC,PANC,USANC,5879400,Anchorage,Alaska,US
AND,KAND,USAND,4569298,Anderson,South Carolina,US
ANE,LFJR,FRANE,3037656,Angers,Pays de la Loire,FR
ANF,SCFA,CLANF,3899539,Antofagasta,Antofagasta,CL
ANG,LFBU,FRANG,3027064,Champniers,Aquitaine-Limousin-Poitou-Charentes,FR
ANI,PANI,USANI,5879487,Aniak,Alaska,US
ANJ,FCBZ,CGANJ,2254814,Zanaga,Lékoumou,CG
ANK,LTAD,TRANK,323786,Ankara,Ankara,TR
ANL,,AOANL,3351884,Andulo,Bíe,AO
ANM,FMNH,MGANM,1069188,Antsirabato,Sava,MG
ANN,PANT,USANN,5844390,Annette,Alaska,US
ANO,FQAG,MZANO,1041510,Malatane,Nampula,MZ
ANP,KANP,USANP,4347242,Annapolis,Maryland,US
ANQ,KANQ,USANQ,4917614,Angola,Indiana,US
ANR,EBAW,BEANR,2803138,Antwerp,Flanders,BE
ANS,SPHY,PEANS,3947740,Andahuaylas,Apurímac,PE
ANT,,ATANT,2766757,Saint Anton,Tyrol,AT
ANU,TAPA,,3576080,Osbourn,Saint George,AG
ANV,PANV,USANV,5879553,Anvik,Alaska,US
ANW,KANW,USAW2,5062769,Ainsworth,Nebraska,US
ANX,ENAN,NOADN,3163146,Andenes,Nordland,NO
ANY,KANY,USANY,4267605,Anthony,Kansas,US
ANZ,,AUANZ,8347785,Imanpa,Northern Territory,AU
AOC,EDAC,DENBI,2957773,Altenburg,Thuringia,DE
AOD,,TDAOD,2437601,Abou Déïa,Salamat,TD
AOE,LTBY,TRESK,315202,Eskişehir,Eskişehir,TR
AOG,ZYAS,CNAOG,2038632,Anshan,Liaoning,CN
AOH,KAOH,,5160783,Lima,Ohio,US
AOI,LIPY,ITAOI,3183089,Ancona,The Marches,IT
AOJ,RJSA,JPAOJ,2130658,Aomori,Aomori,JP
AOK,LGKP,GRAOK,260895,Karpathos,South Aegean,GR
AOL,SARL,ARAOL,3430104,Paso de los Libres,Corrientes Province,AR
AOM,,,287359,Ma‘mūrah,Muḩāfaz̧at ad Dākhilīyah,OM
AOO,KAOO,,5178195,Altoona,Pennsylvania,US
AOP,SPAS,,3699659,Andoas,Loreto,PE
AOQ,BGAG,,3424906,Aappilattoq,Qaasuitsup,GL
AOR,WMKA,MYAOR,1736309,Alor Setar,Kedah,MY
AOS,,USAOS,8693082,Zachar Bay,Alaska,US
AOT,LIMW,ITAOT,3182997,Aosta,Aosta Valley,IT
AOU,VLAP,LAAOU,1665046,Attapu,Attapu,LA
APA,KAPA,,5419384,Denver,Colorado,US
APB,SLAP,BOAPB,3923800,Apolo,La Paz,BO
APC,KAPC,USAPC,5376095,Napa,California,US
APF,KAPF,USAPF,4165565,Naples,Florida,US
APG,KAPG,USAPG,4346913,Aberdeen,Maryland,US
APH,KAPH,USAPH,4781009,Range Corner,Virginia,US
