iata,icao,unlocode,place_id,place_name,place_region,place_country
GDX,UHMM,RUGDX,2123628,Magadan,Magadan,RU
GDZ,URKG,RUGDZ,561667,Gelendzhik,Krasnodarskiy,RU
GEA,NWWM,,2139521,Noumea,South Province,NC
GEB,WAMJ,IDGEB,1642241,Kecapi,North Maluku,ID
GEC,,CYGEC,146391,Lefkónoiko,Ammochostos,CY
GED,KGED,USGED,4142643,Georgetown,Delaware,US
GEE,YGTO,AUGEE,2165718,George Town,Tasmania,AU
GEF,AGEV,SBGEF,2106857,Liangai,,SB
GEG,KGEG,USGEG,5811696,Spokane,Washington,US
GEL,SBNM,BRGEL,3449696,Santo Ângelo,Rio Grande do Sul,BR
GEM,FGMY,GQGEM,2309336,Ebebeng,,GQ
GEO,SYCJ,GYGEO,3378644,Georgetown,Demerara-Mahaica,GY
GER,MUNG,CUGER,3545867,Nueva Gerona,Isla de la Juventud,CU
GES,RPMR,PHGES,1713022,General Santos,Soccsksargen,PH
GET,YGEL,AUGET,2070998,Geraldton,Western Australia,AU
GEU,KGEU,,5295985,Glendale,Arizona,US
GEV,ESNG,SEGEV,606086,Gällivare,Norrbotten,SE
GEX,YGLG,AUGEX,2165798,Geelong,Victoria,AU
GEY,KGEY,USGEY,5826603,Greybull,Wyoming,US
GFA,KGFA,,5655240,Great Falls,Montana,US
GFD,KGFD,USGFD,4258285,Greenfield,Indiana,US
GFF,YGTH,AUGFF,2164422,Griffith,New South Wales,AU
GFK,KGFK,USGFK,5059429,Grand Forks,North Dakota,US
GFL,KGFL,USGFL,5118693,Glens Falls,New York,US
GFN,YGFN,AUGFN,2164771,Grafton,New South Wales,AU
GFO,SYBT,GYGFO,3379507,Bartica,Cuyuni-Mazaruni,GY
GFY,FYGF,NAGFY,3357114,Grootfontein,Otjozondjupa,NA
GGC,,AOGGC,876488,Caxito,Moxico,AO
GGE,KGGE,USGGE,4579662,Georgetown,South Carolina,US
GGG,KGGG,USGGG,4707814,Longview,Texas,US
GGM,HKKG,,195272,Kakamega,Kakamega,KE
GGN,DIGA,CIGGN,2288829,Gagnoa,Gôh-Djiboua,CI
GGO,DIGL,CIGGO,2287958,Guiglo,Montagnes,CI
GGR,HCMW,SOGGR,58933,Garoowe,Nugaal,SO
GGS,SAWR,ARGGS,3854981,Gobernador Gregores,Santa Cruz Province,AR
GGT,MYEF,BSGGT,3572349,George Town,Exuma,BS
GGW,KGGW,,5654320,Glasgow,Montana,US
GHA,DAUG,DZGHA,2496049,Ghardaïa,Ghardaia,DZ
GHB,MYEM,BSGHB,3572313,Governor’s Harbour,Central Eleuthera,BS
GHC,MYBG,BSGHC,3572716,Bullocks Harbour,Berry Islands,BS
GHE,,PAGHE,3709361,Garachiné,Darién,PA
GHF,EDQG,,2920652,Giebelstadt,Bavaria,DE
GHM,KGHM,USGHM,4612465,Centerville,Tennessee,US
GHT,HLGT,LYGHT,2217351,Ghat,Sha‘bīyat Ghāt,LY
GHU,SAAG,ARGHU,3433658,Gualeguaychú,Entre Ríos Province,AR
GIB,LXGB,GIGIB,2411585,Gibraltar,,GI
GIC,YBOI,AUGIC,2101542,Boigu,Queensland,AU
GID,HBBE,BIGID,426272,Gitega,Gitega,BI
GIF,KGIF,USGIF,4178552,Winter Haven,Florida,US
GIG,SBGL,BRGIG,3451190,Rio de Janeiro,Rio de Janeiro,BR
GII,GUSI,GNGII,2415703,Siguiri,Kankan,GN
GIL,OPGT,PKGIL,1178338,Gilgit,Gilgit-Baltistan,PK
GIM,,GAGIM,2400425,Ibomo,Ogooué-Ivindo,GA
GIR,SKGI,COGIR,3682028,Girardot City,Cundinamarca,CO
GIS,NZGS,NZGIS,2206854,Gisborne,Gisborne,NZ
GIT,,TZGIT,159908,Geita,Geita,TZ
GIU,VCCS,,1228051,Sigiriya,Central,LK
GIY,FAGI,ZAGIY,1001860,Giyani,Limpopo,ZA
GIZ,OEGN,SAGIZ,105299,Jizan,Jizan,SA
GJA,MHNJ,HNGJA,3609293,Guanaja,Bay Islands,HN
GJL,DAAV,DZGJL,2492913,Jijel,Jijel,DZ
GJM,SBGM,BRGJM,3925075,Guajará Mirim,Rondônia,BR
GJR,BIGJ,ISGJR,11103248,Árneshreppur,Westfjords,IS
GJT,KGJT,USGJT,5423573,Grand Junction,Colorado,US
GKA,AYGA,PGGKA,2096742,Goroka,Eastern Highlands,PG
GKD,LTFK,,745260,Gökçeada,Çanakkale Province,TR
GKE,ETNG,,2921837,Geilenkirchen,North Rhine-Westphalia,DE
GKH,VNGK,NPGKH,1283378,Gorkhā,,NP
GKK,VRMO,,8411013,Kooddoo Atoll,,MV
GKL,,AUGKL,8348224,The Keppels,Queensland,AU
GKN,PAGK,USGKN,5863497,Gulkana,Alaska,US
GKT,KGKT,USGKT,4624443,Gatlinburg,Tennessee,US
GKY,KGKY,,4671240,Arlington,Texas,US
GLA,EGPF,GBGLW,2648579,Glasgow,Scotland,GB
GLB,,,5291891,Cutter,Arizona,US
GLC,,,337047,Geladī,Somali,ET
GLD,KGLD,USGLD,5445479,Goodland,Kansas,US
GLE,KGLE,USGLE,4692746,Gainesville,Texas,US
GLF,MRGF,CRGLF,3623656,Golfito,Puntarenas,CR
GLH,KGLH,USGLH,4428475,Greenville,Mississippi,US
GLI,YGLI,AUGLI,2165291,Glen Innes,New South Wales,AU
GLJ,SKGZ,,3682108,Garzón,Huila,CO
GLK,HCMR,SOGLK,59611,Gaalkacyo,Mudug,SO
GLL,ENKL,NOGLL,9537662,Klanten,Buskerud,NO
GLN,,MAGLN,2548526,Guelmim,Guelmim-Es Smara,MA
GLO,EGBJ,GBGLO,2636990,Staverton,England,GB
GLP,,PGGLP,2096811,Golgubip,Western Province,PG
GLR,,,4993756,Gaylord,Michigan,US
GLS,KGLS,USGLS,4692883,Galveston,Texas,US
GLT,YGLA,AUGLT,2165478,Gladstone,Queensland,AU
GLU,VQGP,,1252560,Geylegphug,Geylegphug,BT
GLV,PAGL,USGLV,5863074,Golovin,Alaska,US
GLW,KGLW,,4292826,Glasgow,Kentucky,US
GLX,WAMA,IDGLX,1644608,Galela,North Maluku,ID
GLZ,EHGR,,2758401,Breda,North Brabant,NL
GMA,FZFK,CDGMA,2315728,Gemena,Équateur,CD
GMB,HAGM,ETGMB,337405,Gambēla,Gambela,ET
GMC,,COGMC,3670528,Sabana,Vichada,CO
GMD,GMMB,,2555519,Benslimane,Chaouia-Ouardigha,MA
GME,UMGG,BYGME,627907,Gomel,Gomel,BY
GMI,AYGT,PGGMI,2097131,Gasmata,West New Britain,PG
GMM,FCOG,CGGMM,2259947,Gamboma,Plateaux,CG
GMN,NZGM,NZGMN,2206895,Greymouth,West Coast,NZ
GMO,DNGO,,2332183,Lawanti,Gombe,NG
GMP,RKSS,KRGMP,1835848,Seoul,Seoul,KR
GMR,NTGJ,PFGMR,4030682,Akaputu,,PF
GMS,SNGM,BRGMS,3445831,Uberlândia,Minas Gerais,BR
GMT,PAGZ,USGMT,5863822,Haycock,Alaska,US
GMU,KGMU,,4580543,Greenville,South Carolina,US
GMV,,USGMV,7262037,Oljato-Monument Valley,Utah,US
GMZ,GCGM,,2512461,Playa de Santiago,Canary Islands,ES
GNA,UMMG,BYGNA,627904,Hrodna,Grodnenskaya,BY
GNB,LFLS,FRGNB,2996944,Lyon,Auvergne-Rhône-Alpes,FR
GND,TGPY,GDGND,3579925,Saint George's,Saint George,GD
GNF,,,5345053,East Quincy,California,US
GNG,KGNG,USGNG,5594307,Gooding,Idaho,US
GNI,RCGI,TWGNI,1677307,Zhongliao,Taiwan,TW
GNM,SNGI,BRGNM,3461973,Guanambi,Bahia,BR
GNN,HAGH,ETGNN,336454,Ginir,Oromiya,ET
GNR,SAHR,ARGNR,3855065,General Roca,Río Negro Province,AR
GNS,WIMB,IDGNS,1215102,Gunungsitoli,North Sumatra,ID
GNT,KGNT,USGNT,5469841,Grants,New Mexico,US
GNU,,USGNU,5863097,Goodnews Bay,Alaska,US
GNV,KGNV,USGNV,4156404,Gainesville,Florida,US
GNY,LTCS,,298333,Sanliurfa,Şanlıurfa,TR
GNZ,FBGZ,BWGNZ,933759,Ghanzi,Ghanzi,BW
GOA,LIMJ,ITGOA,3176219,Genoa,Liguria,IT
GOB,HAGB,ETGOB,336350,Goba,Oromiya,ET
GOC,,PGGOC,2094823,Kamburade,Northern Province,PG
GOE,,PGGOE,2087826,Ram,East New Britain,PG
GOF,,,5530022,San Angelo,Texas,US
GOG,FYGB,,3357247,Gobabis,Omaheke,NA
GOH,BGGH,GLGOH,3421319,Nuuk,Sermersooq,GL
GOI,VOGO,INGOI,1253367,Vasco da Gama,Goa,IN
GOJ,UWGG,RUGOJ,520555,Nizhny Novgorod,Nizjnij Novgorod,RU
GOK,KGOK,USGOK,4538142,Guthrie,Oklahoma,US
GOL,,USGOL,5843997,Gold Beach,Oregon,US
GOM,FZNA,CDGOM,216281,Goma,Nord Kivu,CD
GON,KGON,USGON,4835461,Groton,Connecticut,US
GOO,YGDI,,2164972,Goondiwindi,Queensland,AU
GOP,VEGK,INGOP,1270927,Gorakhpur,Uttar Pradesh,IN
GOQ,ZLGM,CNGOQ,1281184,Golmud,Qinghai,CN
GOR,HAGR,ETGOR,335943,Gorē,Oromiya,ET
GOT,ESGG,SELAV,2711537,Gothenburg,Västra Götaland,SE
GOU,FKKR,CMGOU,2231320,Garoua,North,CM
GOV,YPGV,AUGOV,2064735,Nhulunbuy,Northern Territory,AU
GOZ,LBGO,BGGOZ,11054756,Gorna Oryahovitsa,Lovech,BG
GPA,LGRX,GRGPA,255683,Pátrai,West Greece,GR
GPB,SBGU,BRGPB,3461879,Guarapuava,Paraná,BR
GPD,YGON,,8556017,Gunpowder,Queensland,AU
GPI,SKGP,COGPI,3681505,Guapi,Cauca,CO
GPL,MRGP,,9257490,"Astua y Pirie, Pococi",Limón,CR
GPN,YGPT,AUGPN,8219817,Pirlangimpi,Northern Territory,AU
GPO,SAZG,ARGPO,3855075,General Pico,La Pampa Province,AR
GPS,SEGS,ECGPS,3651163,Seymour,Galápagos,EC
GPT,KGPT,USGPT,4428667,Gulfport,Mississippi,US
GPZ,KGPZ,USGPZ,5028537,Grand Rapids,Minnesota,US
GQQ,KGQQ,USGQQ,5155414,Galion,Ohio,US
GRB,KGRB,USGRB,5254962,Green Bay,Wisconsin,US
GRD,KGRD,USGRD,4580569,Greenwood,South Carolina,US
GRE,KGRE,USGRE,4239867,Greenville,Illinois,US
GRF,KGRF,,7261292,Fort Lewis,Washington,US
GRG,,AFGRG,1143075,Dīnār Khēl,Paktia,AF
GRH,,PGGRH,2133378,Hehego,Milne Bay,PG
GRI,KGRI,USGRI,5069297,Grand Island,Nebraska,US
GRJ,FAGG,ZAGRJ,1002145,George,Western Cape,ZA
GRK,KGRK,,4703223,Killeen,Texas,US
GRL,,PGGRL,2093428,Korepa,Morobe,PG
GRM,KCKC,USGRM,5028500,Grand Marais,Minnesota,US
GRN,KGRN,,5695713,Gordon,Nebraska,US
GRO,LEGE,ESGRO,3121456,Girona,Catalonia,ES
GRP,SWGI,BRGRP,3461724,Gurupi,Tocantins,BR
GRQ,EHGG,NLGRQ,2755251,Groningen,Groningen,NL
GRR,KGRR,USGRR,4994358,Grand Rapids,Michigan,US
GRS,LIRS,,3175786,Grosseto,Tuscany,IT
GRT,,PKGRT,1177654,Gujrāt,Punjab,PK
GRU,SBGR,BRGRU,3448439,São Paulo,São Paulo,BR
GRV,URMG,RUGRV,558418,Grozny,Chechnya,RU
GRW,LPGR,PTGRW,3372644,Santa Cruz da Graciosa,Azores,PT
GRX,LEGR,ESGRX,2517117,Granada,Andalusia,ES
GRY,BIGR,ISGRY,8643913,Grimsey,Northeast,IS
GRZ,LOWG,ATGRZ,2778067,Graz,Styria,AT
GSA,WBKN,MYGSA,1733758,Long Miau,Sabah,MY
GSB,KGSB,USGSB,4468261,Goldsboro,North Carolina,US
GSC,,AUGSC,2071067,Gascoyne Junction,Western Australia,AU
GSE,ESGP,SEGOT,2711537,Gothenburg,Västra Götaland,SE
GSH,KGSH,USGSH,4920808,Goshen,Indiana,US
GSI,SOGS,,3381538,Grand-Santi,Guyane,GF
GSJ,MGSJ,,3591060,Puerto San José,Escuintla,GT
GSM,OIKQ,IRGSM,6649516,Dayrestān,Hormozgan,IR
GSN,YMGN,AUGSN,8630513,Mount Gunson,South Australia,AU
GSO,KGSO,USGSO,4469146,Greensboro,North Carolina,US
GSP,KGSP,USGSP,4580543,Greenville,South Carolina,US
GSR,HCMG,SOGSR,53102,Qardho,Bari,SO
GSS,FASE,ZAGSS,1020341,Belfast,Limpopo,ZA
GST,PAGS,USGST,5846871,Gustavus,Alaska,US
GSU,,SDGSU,378020,‘Azāzah,Al Qaḑārif,SD
GTA,AGOK,SBGTA,2106012,Mbekambeka,,SB
GTE,YGTE,AUGTE,8310680,"Angurugu Community, Anindilyakwa",Northern Territory,AU
GTF,KGTF,USGTF,5655240,Great Falls,Montana,US
GTG,KGTG,,5254880,Grantsburg,Wisconsin,US
GTI,EDCG,,2940980,Burkvitz,Mecklenburg-Vorpommern,DE
GTN,NZGT,,6244801,Mount Cook,Wellington,NZ
GTO,WAMG,IDGTO,7338920,Sadap,Gorontalo,ID
GTP,,,5729080,Grants Pass,Oregon,US
GTR,KGTR,,4422442,Columbus,Mississippi,US
GTS,YGDW,AUGTS,8641239,Chandler,South Australia,AU
GTT,YGTN,AUGTT,2165719,Georgetown,Queensland,AU
GTW,LKHO,,3075606,Holešov,Zlín,CZ
GTY,,USGTY,4558183,Gettysburg,Pennsylvania,US
GTZ,,,159680,Handajega,,TZ
GUA,MGGT,GTGUA,3598132,Guatemala City,Guatemala,GT
GUB,MMGR,MXGUB,4021858,Guerrero Negro,Baja California,MX
GUC,KGUC,USGUC,5424099,Gunnison,Colorado,US
GUD,GAGM,MLGUD,2456917,Goundam,Tombouctou,ML
GUF,KJKA,USGUF,4065552,Gulf Shores,Alabama,US
GUG,,PGGUG,2096671,Guari,Central Province,PG
GUH,YGDH,AUGUH,2164206,Gunnedah,New South Wales,AU
GUI,SVGI,VEGUI,3796083,Kennedy,Sucre,VE
GUJ,SBGW,BRGUJ,3461859,Guaratinguetá,São Paulo,BR
GUL,YGLB,AUGUL,2164837,Goulburn,New South Wales,AU
GUM,PGUM,GUGUM,4038597,Socio,Tamuning,GU
GUP,KGUP,USGUP,5468773,Gallup,New Mexico,US
GUQ,SVGU,VEGUQ,3640226,Guanare,Portuguesa,VE
GUR,AYGN,PGGUR,2133426,Gurney,Milne Bay,PG
GUS,KGUS,USGUS,7259295,Grissom Air Force Base,Indiana,US
GUT,ETUO,,2913366,Gütersloh,North Rhine-Westphalia,DE
GUU,BIGF,,3416839,Grundarfjordur,West,IS
GUV,,PGGUV,2090415,Mougulu,Western Province,PG
GUW,UATG,KZGUW,610529,Atyrau,Atyraū,KZ
GUX,VAGN,INGUX,1270711,Guna,Madhya Pradesh,IN
GUY,KGUY,USGUY,5515743,Guymon,Oklahoma,US
GUZ,SNGA,BRQDL,3461888,Guarapari,Espírito Santo,BR
GVA,LSGG,CHGVA,2660646,Geneva,Geneva,CH
GVE,,USGVE,4761471,Gordonsville,Virginia,US
GVI,,PGGVI,2096699,Green River,Sandaun,PG
GVL,KGVL,USGVL,4196586,Gainesville,Georgia,US
GVN,,,2121501,Sannoye,Khabarovsk Krai,RU
GVP,YGNV,AUGVP,2164495,Greenvale,Victoria,AU
GVR,SBGV,BRGVR,3462315,Governador Valadares,Minas Gerais,BR
GVT,KGVT,USGVT,4695066,Greenville,Texas,US
GVX,ESSK,SEGVX,2712414,Gävle,Gävleborg,SE
GWA,VYGW,MMGWA,1325814,Gwa,Rakhine,MM
GWD,OPGD,PKGWD,1177446,Gwadar,Balochistān,PK
GWE,FVTL,ZWGWE,890422,Gweru,Midlands,ZW
GWL,VIGR,INGWL,1270583,Gwalior,Madhya Pradesh,IN
GWN,,PGGWN,2089881,Narowaine,Morobe,PG
GWO,KGWO,USGWO,4428495,Greenwood,Mississippi,US
GWT,EDXW,DEGWT,2810284,Westerland,Schleswig-Holstein,DE
GWV,,USGWV,4807136,Glendale,West Virginia,US
GWY,EICM,IEGWY,2964180,Galway,Connaught,IE
GXF,OYSY,YEGXF,70981,Seiyun,Muḩ��faz̧at Ḩaḑramawt,YE
GXG,FNNG,AOGXG,2239068,Mbanza Negage,Uíge,AO
GXH,,,10712575,Gege’ang,Gansu,CN
GXQ,SCCY,CLCXQ,3894426,Coihaique,Aisén,CL
GXX,FKKJ,CMGXX,2221030,Yagoua,Far North,CM
GXY,KGXY,USGXY,5577592,Greeley,Colorado,US
GYA,SLGY,BOGYA,3915350,Guayaramerín,El Beni,BO
GYD,UBBB,AZGYD,587084,Baku,Baki,AZ
GYE,SEGU,ECGYE,3657509,Guayaquil,Guayas,EC
GYG,UEMM,,2020595,Magan,Sakha,RU
GYI,HRYG,RWGYI,202905,Gisenyi,Western Province,RW
GYL,YARG,AUGYL,8607713,Argyle Village,Western Australia,AU
GYM,MMGM,MXGYM,4005143,Guaymas,Sonora,MX
GYN,SBGO,BRGYN,3462377,Goiânia,Goiás,BR
GYP,YGYM,AUGYP,2164129,Gympie,Queensland,AU
GYR,KGYR,USGYR,5296266,Goodyear,Arizona,US
GYS,ZUGU,CNGYS,1806466,Guangyuan,Sichuan,CN
GYU,ZLGY,,1809152,Guyuan,Ningsia Hui Autonomous Region,CN
GYY,KGYY,USGYY,4920607,Gary,Indiana,US
GZH,KGZH,,4061064,Evergreen,Alabama,US
GZI,OAGN,AFGZI,1141269,Ghazni,Ghazni,AF
GZM,LMMG,,2562260,Żebbuġ,Iż-Żebbuġ,MT
GZO,AGGN,SBGZO,2108857,Gizo,Western Province,SB
GZP,LTFG,,314812,Gazipaşa,Antalya,TR
GZT,LTAJ,TRGZT,314830,Gaziantep,Gaziantep,TR
GZW,OIIK,,119505,Qazvin,Qazvīn,IR
HAA,ENHK,,779642,Hasvik,Finnmark Fylke,NO
HAB,KHAB,USHAB,4065965,Hamilton,Alabama,US
HAC,RJTH,JPHAC,1856867,Mitsune,Tokyo,JP
HAD,ESMT,SEHAD,2708365,Halmstad,Halland,SE
HAE,,USHAE,5316400,Supai,Arizona,US
HAF,KHAF,USHAF,5354943,Half Moon Bay,California,US
HAH,FMCH,KMHAH,921772,Moroni,Grande Comore,KM
HAI,,USHAI,5012194,Three Rivers,Michigan,US
HAJ,EDDV,DEHAJ,2910831,Hannover,Lower Saxony,DE
HAK,ZJHK,CNHAK,1809078,Haikou,Hainan,CN
HAL,,NAHAL,3352669,Torrabaai,Kunene,NA
HAM,EDDH,,2911298,Hamburg,Hamburg,DE
HAN,VVNB,VNHAN,1581130,Hanoi,Ha Nội,VN
HAO,KHAO,USHAO,4513575,Hamilton,Ohio,US
HAQ,VRMH,MVHAQ,1282286,Hanimaadhoo,,MV
HAR,KCXY,,5192726,Harrisburg,Pennsylvania,US
HAS,OEHL,SAHAS,106281,Ha'il,Ḩāʼil,SA
HAT,,AUHAT,8425469,Heathlands,Queensland,AU
HAU,ENHD,NOHAU,3153623,Haugesund,Rogaland,NO
HAV,MUHA,CUHAV,3553478,Havana,La Habana,CU
HAW,EGFE,GBHVR,2647311,Haverfordwest,Wales,GB
HAX,KHAX,,4543338,Muskogee,Oklahoma,US
HAY,,USHAY,5863822,Haycock,Alaska,US
HAZ,,PGHAZ,2083616,Wedaro,Madang,PG
HBA,YMHB,AUHBA,2163355,Hobart,Tasmania,AU
HBE,HEBA,EGHBE,361058,Alexandria,Alexandria,EG
HBG,KHBG,USHBG,4429295,Hattiesburg,Mississippi,US
HBK,,,5284580,Holbrook,Arizona,US
HBO,,,5070522,Humboldt,Nebraska,US
HBR,KHBR,USHBR,4529662,Babbs,Oklahoma,US
HBU,ZMBS,,1516173,Bürenhayrhan,Hovd,MN
HBX,VAHB,INHBX,1269920,Hubli,Karnataka,IN
HCA,,USHCA,5517061,Big Spring,Texas,US
HCB,,USHCB,5844651,Beaver Falls,Alaska,US
HCC,,USHCC,5121509,Hudson,New York,US
HCD,KHCD,,5029749,Heatwole,Minnesota,US
HCJ,,,9924841,Nahai,Guangxi Zhuang Autonomous Region,CN
HCM,HCME,SOHCM,60019,Eyl,Nugaal,SO
HCN,RCKW,TWHCN,1676242,Hengchun,Taiwan,TW
HCQ,YHLC,AUHCQ,2070176,Halls Creek,Western Australia,AU
HCR,PAHC,USHCR,5864131,Holy Cross,Alaska,US
HCW,KCQW,USHCW,4583090,Isgett Circle,South Carolina,US
HDA,,USHDA,5844535,Baranof,Alaska,US
HDB,,,2907911,Heidelberg,Baden-Württemberg,DE
HDD,OPKD,PKHDD,1176734,Hyderābād,Sindh,PK
HDE,KHDE,USHDE,5070216,Holdrege,Nebraska,US
HDF,EDAH,DEHDF,2833988,Seebad Heringsdorf,Mecklenburg-Vorpommern,DE
HDG,ZBHD,,1808963,Handan,Hebei,CN
HDH,PHDH,,5851156,Mokulēia,Hawaii,US
HDM,OIHH,IRHDM,132144,Hamadān,Hamadān,IR
HDN,KHDN,USHDN,5577864,Hayden,Colorado,US
HDO,KHDO,,4698562,Hondo,Texas,US
HDR,OIKP,IRHDR,138423,Chījū,Hormozgan,IR
HDS,FAHS,ZAHDS,996195,Hoedspruit,Limpopo,ZA
HDY,VTSS,THHDY,1610780,Hat Yai,Songkhla,TH
HEA,OAHR,AFHEA,1140026,Herāt,Herat,AF
HEB,,MMHEB,1325211,Hinthada,Ayeyarwady,MM
HED,,USHED,5863940,Herendeen Bay,Alaska,US
HEE,KHEE,USHEE,4135840,West Helena,Arkansas,US
HEH,VYHH,MMHEN,1325259,Heho,Shan,MM
HEI,EDXB,,2908032,Heide,Schleswig-Holstein,DE
HEK,ZYHE,,2036973,Heihe,Heilongjiang,CN
HEL,EFHK,,658225,Helsinki,Uusimaa,FI
HEM,EFHF,,658225,Helsinki,Uusimaa,FI
HEN,EFHE,,658225,Helsinki,Uusimaa,FI
HER,LGIR,GRHER,261745,Irákleion,Crete,GR
HES,KHRI,USHES,5731070,Hermiston,Oregon,US
HET,ZBHH,CNHET,2036892,Hohhot,Inner Mongolia,CN
HEY,KHEY,,4081936,Ozark,Alabama,US
HEZ,KHEZ,USHEZ,4437982,Natchez,Mississippi,US
HFA,LLHA,ILHFA,294801,Haifa,Haifa,IL
HFD,KHFD,USHFD,4835797,Hartford,Connecticut,US
HFE,ZSOF,CNHFE,1808722,Hefei,Anhui,CN
HFF,KHFF,USHFF,4471368,Hoffman,North Carolina,US
HFN,BIHN,ISHFN,2630299,Hofn,East,IS
HFS,ESOH,,2709214,Hagfors,Värmland,SE
HFT,ENHF,NOHFT,779683,Hammerfest,Finnmark Fylke,NO
HGA,HCMH,SOHGA,57289,Hargeysa,Woqooyi Galbeed,SO
HGD,YHUG,AUHGD,2162976,Hughenden,Queensland,AU
HGH,ZSHC,CNHGH,1808926,Hangzhou,Zhejiang,CN
HGI,,,8948691,Heglig,,SD
HGL,EDXH,DEHGL,3208547,Helgoland,Schleswig-Holstein,DE
HGN,VTCH,THHGN,1152222,Mae Hong Son,Mae Hong Son,TH
HGO,DIKO,CIHGO,2286304,Korhogo,Savanes,CI
HGR,KHGR,USHGR,4357141,Hagerstown,Maryland,US
HGS,GFHA,SLHGS,2409306,Freetown,Western Area,SL
HGU,AYMH,PGHGU,2090409,Mt Hagen,Western Highlands,PG
HHE,RJSH,JPHHE,8311693,Kikyōno,Aomori,JP
HHH,KHXD,USHHH,4581833,Hilton Head,South Carolina,US
HHI,PHHI,USHHI,5853992,Wahiawā,Hawaii,US
HHN,EDFH,,2912368,Hahn,Rheinland-Pfalz,DE
HHP,VHST,,1819729,Hong Kong,Central and Western,HK
HHQ,VTPH,THHHQ,1153269,Hua Hin,Prachuap Khiri Khan,TH
HHR,KHHR,USHHR,5355828,Hawthorne,California,US
HHZ,NTGH,PFHHZ,4033234,Tupapati,,PF
HIA,ZSSH,,1803877,Lianshui,Jiangsu,CN
HIB,KHIB,USHIB,5030005,Hibbing,Minnesota,US
HID,YHID,AUHID,8348242,Horn,Queensland,AU
HIE,KHIE,USHIE,5094647,Whitefield,New Hampshire,US
HIF,KHIF,USHIF,5779206,Ogden,Utah,US
HIG,,AUHIG,2069812,Highbury,Western Australia,AU
HII,KHII,USHII,5301388,Lake Havasu City,Arizona,US
HIJ,RJOA,JPHIJ,1862415,Hiroshima,Hiroshima,JP
HIK,PHIK,,5856195,Honolulu,Hawaii,US
HIM,VCCH,LKHIM,1244108,Hingurakgoda,North Central,LK
HIN,RKPS,KRHIN,1838294,Shisen,Gyeongsangnam-do,KR
HIO,KHIO,USHIO,5746545,Portland,Oregon,US
HIP,YHDY,AUHIP,2059569,Urandangi,Queensland,AU
HIR,AGGH,SBHIR,2108502,Honiara,Guadalcanal,SB
HIS,,AUHIS,6354937,Hayman Island,Queensland,AU
HIT,,PGHIT,2089844,Nauma,Gulf,PG
HIW,RJBH,,1862415,Hiroshima,Hiroshima,JP
HJH,KHJH,,5069928,Hebron,Nebraska,US
HJJ,ZGCJ,CNHJJ,1784525,Zhijiang,Hunan,CN
HJO,KHJO,,5355180,Hanford,California,US
HJR,VAKJ,INHJR,1267154,Khajurāho,Madhya Pradesh,IN
HJT,ZMHU,MNHJT,2030428,Khujirt,Övörhangay,MN
HKA,KHKA,,4102412,Blytheville,Arkansas,US
HKB,,USHKB,9669816,Healy Lake,Alaska,US
HKD,RJCH,JPHKD,2130188,Hakodate,Hokkaido,JP
HKG,VHHH,HKHKG,1819729,Hong Kong,Central and Western,HK
HKK,NZHK,NZHKK,2206894,Hokitika,West Coast,NZ
HKN,AYHK,PGHKN,2096037,Hoskins,West New Britain,PG
HKS,KHKS,,4431410,Jackson,Mississippi,US
HKT,VTSP,THHKT,1151254,Phuket,Phuket,TH
HKV,LBHS,BGHKV,730435,Haskovo,Khaskovo,BG
HKY,KHKY,USHKY,4470778,Hickory,North Carolina,US
HLA,FALA,ZAHLA,993800,Johannesburg,Gauteng,ZA
HLB,KHLB,USHLB,4254185,Batesville,Indiana,US
HLC,KHLC,USHLC,4272980,Hill City,Kansas,US
HLD,ZBLA,CNHLD,2037078,Hailar,Inner Mongolia,CN
HLE,FHSH,,3370695,Taglate,Saint Helena,SH
HLF,ESSF,SEHLF,2704398,Hultsfred,Kalmar,SE
HLG,KHLG,USHLG,5280854,Wheeling,West Virginia,US
HLH,ZBUL,CNHLH,2034312,Ulanhot,Inner Mongolia,CN
HLI,KCVH,USHLI,5357499,Hollister,California,US
HLL,,AUHLL,2059811,Warmun,Western Australia,AU
HLM,KHLM,USHLM,4996248,Holland,Michigan,US
HLN,KHLN,USHLN,5656882,Helena,Montana,US
HLO,BIID,,11072358,Sæból,Westfjords,IS
HLP,WIHH,IDJKT,1642911,Jakarta,Jakarta,ID
HLS,YSTH,AUHLS,2150679,St Helens,Tasmania,AU
HLT,YHML,AUHLT,2161944,Kanawalla,Victoria,AU
HLV,,AUHLV,2163635,Helenvale,Queensland,AU
HLW,FAHL,ZAHLW,996256,Hluhluwe,KwaZulu-Natal,ZA
HLZ,NZHN,NZHLZ,2190324,Hamilton,Waikato,NZ
HMA,USHH,,1503772,Khanty-Mansiysk,Khanty-Mansiyskiy Avtonomnyy Okrug,RU
HMB,HEMK,,347796,Sohag,Sohag,EG
HME,DAUH,DZHME,2494029,Hassi Messaoud,Ouargla,DZ
HMG,YHMB,AUHMG,8310697,Hermannsburg,Northern Territory,AU
HMI,ZWHM,CNHMI,1529484,Hami,Xinjiang Uyghur Autonomous Region,CN
HMJ,UKLH,UAHMJ,695083,Ruzhychna,Khmelnytskyi,UA
HMN,KHMN,USOMN,5454627,Alamogordo,New Mexico,US
HMO,MMHO,MXHMO,4004898,Hermosillo,Sonora,MX
